Location,Year,Calculated_Population,Renewable_Share,Energy_Generation,Tourism_Aggregated_Arrivals,Log_Population,Log_Energy,Log_Tourism,Tourism_Per_Capita,Energy_Per_Capita,Total_Human_Load,Log_Human_Load,Log_Energy_Per_Capita,Cluster
Cook Islands,2000,15482,9.28,24.8,73000,4.189827063120662,1.3944516808262164,4.863322860120456,4.715153080997287,0.0016018602247771,88482,4.94685493063272,-2.795375382294446,4
Cook Islands,2001,14883,9.9,25.9,75000,4.172690481755848,1.413299764081252,4.8750612633917,5.0393065914130215,0.0017402405429012,89883,4.953677559315655,-2.759390717674596,4
Cook Islands,2002,14625,12.25,27.8,73000,4.165095874754218,1.4440447959180762,4.863322860120456,4.991452991452992,0.0019008547008547,87625,4.942628030974715,-2.7210510788361417,4
Cook Islands,2003,14680,11.07,29.2,78000,4.166726055580051,1.4653828514484184,4.892094602690481,5.313351498637602,0.0019891008174386,92680,4.966986025117938,-2.701343204131633,4
Cook Islands,2004,14729,10.4,29.8,83000,4.168173262170234,1.4742162640762553,4.919078092376074,5.635141557471655,0.0020232194989476,97729,4.990023454928037,-2.693956998093979,4
Cook Islands,2005,14781,9.42,30.4,88000,4.169703816994572,1.4828735836087537,4.944482672150168,5.953589067045532,0.0020566944049793,102781,5.011912838805169,-2.686830233385818,4
Cook Islands,2006,14855,8.42,32.2,92000,4.171872656139683,1.507855871695831,4.963787827345556,6.193200942443622,0.0021676203298552,106855,5.028794848648937,-2.664016784443852,4
Cook Islands,2007,15139,8.71,33.8,97000,4.180097188980094,1.5289167002776547,4.986771734266245,6.407292423541845,0.0022326441640795,112139,5.049756678956891,-2.6511804887024395,4
Cook Islands,2008,15605,8.42,33.6,95000,4.193263773001352,1.526339277389844,4.977723605288848,6.087792374239026,0.0021531560397308,110605,5.043774760090986,-2.6669244956115072,4
Cook Islands,2009,16093,9.01,32.7,101000,4.206637011283536,1.5145477526602862,5.004321373782642,6.276020630087616,0.0020319393525135,117093,5.068530933054931,-2.6920892586232497,4
Cook Islands,2010,16578,7.25,33.8,104000,4.219532135300155,1.5289167002776547,5.017033339298781,6.273374351550247,0.0020388466642538,120578,5.081268076044782,-2.6906154350225004,4
Cook Islands,2011,17044,6.52,33.7,113000,4.231571525528415,1.5276299008713388,5.05307844348342,6.629899084721896,0.0019772353907533,130044,5.114090319415373,-2.703941624657077,4
Cook Islands,2012,17245,6.17,33.0,122000,4.236663198703409,1.5185139398778875,5.086359830674748,7.074514351986083,0.0019135981443896,139245,5.143779609508994,-2.718149258825522,4
Cook Islands,2013,17193,6.32,32.6,121000,4.235351663177412,1.513217600067939,5.08278537031645,7.037747920665387,0.0018961205141627,138193,5.1404860449313245,-2.722134063109473,4
Cook Islands,2014,17117,6.26,32.6,122000,4.233427650667445,1.513217600067939,5.086359830674748,7.127417187591283,0.0019045393468481,139117,5.143380203716524,-2.7202100505995066,4
Cook Islands,2015,17035,7.18,32.8,125000,4.231342137903896,1.515873843711679,5.096910013008056,7.33783387144115,0.0019254476078661,142035,5.152395375607684,-2.715468294192217,4
Cook Islands,2016,16923,7.74,34.3,146000,4.228477354445056,1.5352941200427703,5.164352855784437,8.62731194232701,0.0020268273946699,162923,5.211982398415251,-2.693183234402285,4
Cook Islands,2017,16647,8.0,36.6,161000,4.221335979533828,1.5634810853944108,5.20682587603185,9.67141226647444,0.0021985943413227,177647,5.249557877772733,-2.6578548941394176,4
Cook Islands,2018,16201,9.39,42.0,169000,4.2095418220166,1.6232492903979006,5.227886704613674,10.431454848466144,0.0025924325658909,185201,5.267643327342187,-2.5862925316187,4
Cook Islands,2019,15754,9.02,39.1,172000,4.197390841133298,1.5921767573958667,5.235528446907549,10.917862130252637,0.0024819093563539,187754,5.273589198189775,-2.605214083737431,4
Cook Islands,2020,15281,9.94,33.9,25200,4.184151775723396,1.530199698203082,4.401400540781544,1.6491067338524965,0.002218441201492,40481,4.607251232317852,-2.653952077520314,3
Fiji,2000,822572,50.06,673.4,434000,5.915173922225848,2.8282731120520697,5.63748972951251,0.5276133882505118,0.0008186517411241,1256572,6.099187378170805,-3.0869008101737783,1
Fiji,2001,831045,40.44,706.7,446000,5.9196245408991,2.849235091314722,5.649334858712142,0.5366737059966669,0.0008503751301072,1277045,6.106206201027983,-3.070389449584377,1
Fiji,2002,839355,48.98,767.4,461000,5.923945681845261,2.8850217948622974,5.663700925389648,0.5492312549517189,0.0009142734599781,1300355,6.114061931917723,-3.038923886982964,1
Fiji,2003,847413,40.83,777.9,451000,5.928095122144271,2.890923771489014,5.654176541877961,0.5322080260746531,0.0009179703403181,1298413,6.113412855092976,-3.0371713506552567,1
Fiji,2004,855294,35.72,809.1,513000,5.932115425406848,2.908002201172553,5.710117365111817,0.599793755129815,0.0009459905015117,1368294,6.136179422573694,-3.0241132242342945,1
Fiji,2005,863163,40.02,841.9,547000,5.936092815780245,2.9252605095194357,5.737987326333431,0.6337157639982252,0.0009753661822853,1410163,6.1492693154277935,-3.0108323062608093,1
Fiji,2006,870931,39.07,902.7,549000,5.939983749145127,2.955543442459743,5.739572344450092,0.6303599251835105,0.0010364770573099,1419931,6.152267240828599,-2.984440306685384,1
Fiji,2007,878247,36.04,909.2,542000,5.943616674962018,2.9586594270529334,5.733999286538387,0.6171384587707103,0.0010352440714286,1420247,6.1523638805862815,-2.984957247909085,1
Fiji,2008,883692,42.13,914.6,627000,5.94630092337462,2.961231197044663,5.797267540830717,0.7095232275498703,0.0010349759871086,1510692,6.179175929371935,-2.9850697263299573,1
Fiji,2009,887404,41.62,905.0,605000,5.94812138198028,2.9566485792052037,5.781755374652469,0.6817638865725194,0.0010198286237159,1492404,6.173886404383532,-2.9914728027750765,1
