Macro_Cluster,Year,Renewable_Share_mean,Renewable_Share_median,Energy_Generation_mean,Energy_Generation_median,Tourism_Aggregated_Arrivals_mean,Tourism_Aggregated_Arrivals_median,Calculated_Population_mean,Calculated_Population_median,Total_Human_Load_mean,Total_Human_Load_median,Tourist_Spatial_Density_mean,Tourist_Spatial_Density_median,Energy_Density_MWh_KM2_mean,Energy_Density_MWh_KM2_median
A,2000,38.60333333333333,49.775000000000006,618.45,295.35,151066.66666666666,82000.0,1077766.1666666667,211950.5,1228832.8333333333,390950.5,29.152811675688515,20.136200462422472,43.42609894703518,26.62483821083825
A,2001,36.766666666666666,45.849999999999994,609.1666666666666,310.75,147750.0,80000.0,1110008.3333333333,216157.0,1257758.3333333333,383157.0,27.279387790086272,21.14271089472797,44.843054226105956,28.029187027933602
A,2002,37.699999999999996,51.015,623.2166666666666,322.65000000000003,161250.0,109250.0,1142831.3333333333,220382.0,1304081.3333333333,364382.0,48.82746970353699,37.30652030058141,47.10612333988206,29.690016621892234
A,2003,35.56666666666667,45.675,628.55,335.90000000000003,167183.33333333334,116050.0,1176387.1666666667,224718.0,1343570.5,382218.0,53.396307958522236,40.168522881907464,49.92543170215469,32.2584444462138
A,2004,34.82,43.135,637.9333333333333,350.65000000000003,166316.66666666666,81450.0,1210514.0,229162.0,1376830.6666666667,384662.0,40.27370429503568,41.73427149749256,52.48793358428852,34.77672792039305
A,2005,35.288333333333334,44.265,666.7333333333332,357.65000000000003,176700.0,97500.0,1245179.6666666667,233563.5,1421879.6666666667,400563.5,40.05905961077107,42.14195239958339,54.44441958779012,36.66061434740416
A,2006,35.446666666666665,43.595,721.1166666666667,360.8,177966.66666666666,116000.0,1280469.6666666667,237963.5,1458436.3333333333,425963.5,31.581474865830256,21.679788159604172,56.23340769864755,39.248964286210715
A,2007,34.06,42.230000000000004,736.6833333333334,374.6,192216.66666666666,135500.0,1316252.0,242208.0,1508468.6666666667,447208.0,39.594874816022916,34.74349965526814,57.83709718622874,39.426812595283714
A,2008,35.321666666666665,45.935,758.7666666666668,376.8,206583.33333333334,158300.0,1352065.0,245951.0,1558648.3333333333,457751.0,34.2475166856234,25.22016995948843,57.67243324920536,38.89638840572747
A,2009,32.919999999999995,40.14,836.1666666666666,387.55,204183.33333333334,158000.0,1388094.0,249376.0,1592277.3333333333,457126.0,35.087647868584924,25.80371695502163,57.913628439386,38.44876329046261
A,2010,29.948333333333334,33.015,845.3166666666666,387.45000000000005,220733.33333333334,162500.0,1424572.8333333333,252647.5,1645306.1666666667,460997.5,33.48589115206751,28.68459939528365,58.15001508285278,39.523525098895334
A,2011,30.365,34.565,856.1666666666666,370.95,236266.66666666666,180500.0,1460643.8333333333,255788.5,1696910.5,478238.5,35.68307345750284,30.293203718856777,56.785577304056424,38.91901965788078
A,2012,30.666666666666668,36.12,862.0666666666667,373.05,251550.0,192500.0,1496056.0,259144.0,1747606.0,524744.0,34.663252714533556,33.45052149307988,57.07837815794937,39.12494448460731
A,2013,30.71666666666667,36.865,881.2166666666667,366.15000000000003,264516.6666666667,198000.0,1531258.6666666667,262712.0,1795775.3333333333,548212.0,36.36698656911525,35.67149385252752,57.292639146571695,40.824616297713376
A,2014,29.45,32.34,849.3333333333334,368.95,267283.3333333333,210000.0,1566337.3333333333,266371.0,1833620.6666666667,545371.0,38.66221373693813,34.8539887347406,57.21434253364249,39.36997131080563
A,2015,29.126666666666665,32.085,806.4833333333332,368.0,279133.3333333333,219000.0,1601225.8333333333,270003.5,1880359.1666666667,533003.5,40.89272689427573,35.549860859964554,58.456357178970656,41.45285284004671
A,2016,28.05666666666667,28.87,811.1666666666666,381.6,307963.3333333333,219500.0,1635848.6666666667,273608.0,1943812.0,569898.0,45.85081172461057,40.7709308750896,61.183716578013986,42.93069249877229
A,2017,27.703333333333333,30.69,799.8000000000001,382.95,314983.3333333333,218000.0,1670149.8333333333,277220.0,1985133.1666666667,570620.0,46.71744359992366,41.75168596340518,63.039540070221456,46.78001275825032
A,2018,26.118333333333336,26.905,856.1166666666667,385.95,324900.0,227450.0,1704004.6666666667,280417.0,2028904.6666666667,585467.0,45.64630310055475,43.31364389796174,64.4793480621997,48.462704384700515
A,2019,26.485,28.15,806.1333333333332,389.15,304033.3333333333,233500.0,1737402.3333333333,283331.5,2041435.6666666667,552431.5,49.02203503719707,37.0143503293989,66.78939925250333,52.64473239050395
B,2000,11.08,0.6,537.0285714285714,88.2,238571.42857142858,73000.0,63336.0,17030.0,301907.4285714286,88482.0,413.00030997189793,42.30769230769231,586.5297392891841,105.08474576271186
B,2001,10.007142857142856,0.58,545.9428571428572,99.3,218642.85714285713,75000.0,64116.57142857143,17169.0,282759.4285714286,89883.0,379.0074969277506,42.30769230769231,581.3070970123505,109.7457627118644
