STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CLIMATE_CHANGE_INDICATORS,Climate Change Indicators,GEO_PICT,Pacific Island Countries and territories,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,1995,,122000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,1996,,138000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,1997,,139000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,1998,,127000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,1999,,151000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2000,,161000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2001,,152000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2002,,158000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2003,,166000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2004,,177000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2005,,182000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2006,,219000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2007,,227000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2008,,256000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2009,,230000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2010,,282000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2011,,348000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2012,,390000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2013,,494000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2014,,529000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2015,,558000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2016,,625000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2017,,626000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,TRSM_ARR,Tourism Arrivals,NC,New Caledonia,2018,,576000,,,,N,units,,,,,,,,
