STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,VISITOR_DURATION_CAT,Visitor duration category,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),1995,,158000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),1996,,194000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),1997,,188000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),1998,,128000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),1999,,134000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2000,,140000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2001,,98000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2002,,63000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2003,,20000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2004,,9000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2005,,2000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2007,,2000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2008,,42000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2009,,63000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2010,,60000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2011,,59000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2012,,80000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2013,,109500,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2014,,87600,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2015,,114000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2016,,171000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2017,,184000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2018,,188000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2019,,75000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2020,,21300,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,FJ,Fiji,EXCR,Same-day visitors (excursionists),2022,,15900,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),1995,,36000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),1996,,47000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),1997,,34000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),1998,,23000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),1999,,51000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2000,,51000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2001,,51000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2002,,54000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2003,,64000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2004,,77000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2005,,81000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2006,,119000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2007,,124000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2008,,152000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2009,,131000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2010,,183000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2011,,236000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2012,,278000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2013,,386000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2014,,422000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2015,,444000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2016,,509000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2017,,505000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2018,,456000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2019,,344000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2020,,48000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,NC,New Caledonia,EXCR,Same-day visitors (excursionists),2022,,60000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2008,,6000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2009,,5000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2010,,6000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2011,,7000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2012,,7000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2013,,8000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2014,,9000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2015,,16000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2016,,19000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2017,,43000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2018,,55000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2019,,51000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,PG,Papua New Guinea,EXCR,Same-day visitors (excursionists),2022,,2600,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,SB,Solomon Islands,EXCR,Same-day visitors (excursionists),2005,,1200,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,SB,Solomon Islands,EXCR,Same-day visitors (excursionists),2006,,1200,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,SB,Solomon Islands,EXCR,Same-day visitors (excursionists),2007,,1400,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),1995,,38000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),1996,,57000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),1997,,31000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),1998,,26000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),1999,,45000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2000,,48000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2001,,53000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2002,,50000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2003,,52000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2004,,38000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2005,,64000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2006,,86000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2007,,86000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2008,,106100,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2009,,124800,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2010,,140500,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2011,,154900,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2012,,213000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2013,,247000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2014,,220000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2015,,197000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2016,,256480,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2017,,223600,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2018,,234600,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2019,,135400,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2020,,60400,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,VU,Vanuatu,EXCR,Same-day visitors (excursionists),2022,,35000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,1995,,1362000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,1996,,1373000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,1997,,1382000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,1998,,1137000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,1999,,1162000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2000,,1287000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2001,,1159000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2002,,1059000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2003,,910000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2004,,1160000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2005,,1228000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2006,,1212000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2007,,1225000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2008,,1142000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2009,,1053000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2010,,1197000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2011,,1160000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2012,,1308000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2013,,1334000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2014,,1343000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2015,,1409000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2016,,1536000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2017,,1545000,,,,N,units,,,,,,,,
DATAFLOW,SPC:DF_TOURISM_ARRIVALS(1.0),Tourism Arrivals,I,A,Annual,GU,Guam,TOUR,Overnight tourists,2018,,1549000,,,,N,units,,,,,,,,
